Time,TopLeft,TopRight,BottomRight
0:00:30,0.822,0.827,0.766
0:01:30,0.815,0.820,0.792
0:02:30,0.812,0.818,0.799
0:03:30,0.809,0.815,0.803
0:04:30,0.807,0.812,0.805
0:06:30,0.802,0.808,0.807
0:08:30,0.799,0.804,0.809
0:10:30,0.796,0.801,0.809
0:12:30,0.793,0.799,0.809
0:14:30,0.791,0.796,0.810
0:16:30,0.789,0.794,0.809
0:18:30,0.786,0.791,0.809
0:20:30,0.784,0.789,0.808
0:22:30,0.782,0.787,0.807
0:24:30,0.779,0.785,0.806
0:26:30,0.777,0.783,0.805
0:28:30,0.775,0.780,0.804
0:30:30,0.773,0.778,0.803
0:32:30,0.771,0.776,0.802
0:34:30,0.769,0.774,0.800
0:36:30,0.767,0.772,0.799
0:38:30,0.765,0.770,0.798
0:40:30,0.763,0.768,0.796
0:42:30,0.760,0.766,0.795
0:44:30,0.759,0.764,0.793
0:46:30,0.757,0.762,0.792
0:48:30,0.755,0.760,0.791
0:50:30,0.753,0.758,0.789
0:52:30,0.751,0.756,0.788
0:54:30,0.749,0.754,0.787
0:56:30,0.747,0.752,0.785
0:58:30,0.745,0.750,0.784
1:00:30,0.743,0.748,0.783
1:02:30,0.741,0.746,0.781
1:04:30,0.739,0.744,0.780
1:06:30,0.737,0.743,0.779
1:08:30,0.736,0.741,0.777
1:10:30,0.734,0.739,0.776
1:12:30,0.732,0.737,0.775
1:14:30,0.730,0.735,0.773
1:16:30,0.728,0.733,0.772
1:18:30,0.727,0.732,0.771
1:20:30,0.725,0.730,0.769
1:22:30,0.723,0.728,0.768
1:24:30,0.721,0.726,0.767
1:26:30,0.719,0.724,0.766
1:28:30,0.717,0.722,0.764
1:30:30,0.715,0.720,0.763
1:32:30,0.713,0.718,0.762
1:34:30,0.712,0.717,0.761
1:36:30,0.710,0.715,0.759
1:38:30,0.709,0.714,0.758
1:40:30,0.707,0.712,0.757
1:42:30,0.706,0.711,0.755
1:44:30,0.705,0.710,0.754
1:46:30,0.704,0.709,0.753
1:48:30,0.703,0.708,0.751
1:50:30,0.702,0.706,0.750
1:52:30,0.700,0.705,0.749
1:54:30,0.699,0.704,0.747
1:56:30,0.698,0.703,0.746
1:58:30,0.697,0.702,0.744
2:00:30,0.695,0.700,0.743
2:02:30,0.694,0.699,0.742
2:04:30,0.693,0.698,0.740
2:06:30,0.692,0.696,0.739
2:08:30,0.690,0.695,0.738
2:10:30,0.689,0.694,0.736
2:12:30,0.688,0.693,0.735
2:14:30,0.687,0.692,0.733
2:16:30,0.686,0.691,0.732
2:18:30,0.685,0.689,0.730
2:20:30,0.683,0.688,0.729
2:22:30,0.682,0.687,0.728
2:24:30,0.681,0.686,0.726
2:26:30,0.680,0.685,0.725
2:28:30,0.679,0.684,0.723
2:30:30,0.679,0.683,0.722
2:32:30,0.678,0.683,0.721
2:34:30,0.677,0.682,0.719
2:36:30,0.677,0.681,0.718
2:38:30,0.676,0.681,0.717
2:40:30,0.675,0.680,0.716
2:42:30,0.675,0.679,0.715
2:44:30,0.674,0.679,0.714
2:46:30,0.672,0.681,0.712
2:46:37,0.676,0.677,0.712